zsh	t14_arith_add.zsh	PASS
zsh	t15_arith_mul.zsh	PASS
c	t38_for_ever.c	PASS
go	t75_len.go	PASS
zsh	t16_if_cond.zsh	PASS
c	t39_strlen_var.c	PASS
zsh	t17_if_else.zsh	PASS
zsh	t18_elif_chain.zsh	PASS
c	t40_sizes.c	PASS
go	t76_import.go	PASS
zsh	t19_while_loop.zsh	PASS
zsh	t20_for_list.zsh	PASS
c	t41_gcd.c	PASS
zsh	t21_array.zsh	PASS
go	t77_fixed_array.go	PASS
c	t41_typed_conditions.c	PASS
zsh	t22_func_def.zsh	PASS
zsh	t23_func_args.zsh	PASS
c	t42_escapes.c	PASS
zsh	t24_str_cat.zsh	PASS
go	t78_type_switch.go	PASS
c	t42_typed_pointers.c	PASS
zsh	t25_num_cmp.zsh	PASS
zsh	t26_str_cmp.zsh	PASS
c	t43_64ptr_arith.c	PASS
zsh	t27_not_expr.zsh	PASS
zsh	t28_and_or.zsh	PASS
c	t43_percent.c	PASS
c	t44_huge_cond.c	PASS
zsh	t29_increment.zsh	PASS
zsh	t30_ternary.zsh	PASS
c	t44_nested_loops.c	PASS
zsh	t31_case_switch.zsh	PASS
go	t79_go_stmt.go	PASS
go	t80_pointer_type.go	PASS
zsh	t32_redirect.zsh	PASS
go	t81_channel_type.go	PASS
zsh	t33_pipe.zsh	PASS
go	t82_func_type.go	PASS
go	t83_type_args.go	PASS
go	t84_interface_type.go	PASS
c	t45_array_iter.c	PASS
zsh	t34_cmdsub.zsh	PASS
go	t85_struct_type.go	PASS
zsh	t35_exit_code.zsh	PASS
c	t46_factorial.c	PASS
zsh	t36_read_stdin.zsh	PASS
zsh	t37_substring.zsh	PASS
c	t47_digit_sum.c	PASS
zsh	t38_strlen.zsh	PASS
c	t48_fib.c	PASS
zsh	t39_arrlen.zsh	PASS
c	t49_prime.c	PASS
zsh	t40_nested_loop.zsh	PASS
zsh	t41_local_var.zsh	PASS
c	t50_minmax.c	PASS
zsh	t42_global_mut.zsh	PASS
c	t51_swap.c	PASS
zsh	t43_heredoc.zsh	PASS
c	t52_switch_many.c	PASS
c	t53_negative.c	PASS
c	t54_clamp_abs.c	PASS
c	t55_multi_fn.c	PASS
c	t56_string_iter.c	PASS
zsh	t44_background.zsh	PASS
zsh	t45_env_set.zsh	PASS
c	t57_cmp_value.c	PASS
zsh	t46_printf.zsh	PASS
c	t58_func_runtime.c	PASS
zsh	t47_multi_assign.zsh	PASS
zsh	t48_accum.zsh	PASS
c	t59_multi_decl.c	PASS
zsh	t49_empty_check.zsh	PASS
zsh	t50_file_test.zsh	PASS
c	t60_compound_ops.c	PASS
zsh	t51_arith_loop.zsh	PASS
c	t61_prefix_inc.c	PASS
zsh	t52_full_prog.zsh	PASS
zsh	t53_param_default.zsh	PASS
c	t62_char_lit.c	PASS
zsh	t54_str_subst.zsh	PASS
c	t63_bitwise.c	PASS
zsh	t55_array_elem.zsh	PASS
zsh	t56_array_append.zsh	PASS
c	t64_bitwise_cond.c	PASS
zsh	t57_array_len.zsh	PASS
zsh	t58_seq_range.zsh	PASS
c	t65_ternary.c	PASS
zsh	t59_until.zsh	PASS
zsh	t60_contains.zsh	PASS
c	t66_array_write_loop.c	PASS
zsh	t61_while_read.zsh	PASS
zsh	t64_prefix_suffix.zsh	PASS
c	t67_heap_dyn.c	PASS
zsh	t66_array_slice.zsh	PASS
c	t68_switch_dynamic.c	PASS
zsh	t68_case_glob.zsh	PASS
zsh	t69_brace.zsh	PASS
c	t69_ptr_walk.c	PASS
zsh	t70_var_case_mods.zsh	PASS
c	t70_ptr_walk_store.c	PASS
zsh	t71_var_name_mods.zsh	PASS
zsh	t72_one_based_array.zsh	PASS
c	t71_multi_out.c	PASS
zsh	t73_zsh_arith_cond.zsh	PASS
c	t72_multi_out_mix.c	PASS
zsh	t74_zsh_str_slice.zsh	PASS
zsh	t75_zsh_param_flag.zsh	PASS
c	t73_arith_calls.c	PASS
zsh	t76_typeset_case.zsh	PASS
zsh	t77_multi_subscript.zsh	PASS
c	t74_switch_fallthrough.c	PASS
zsh	t78_arith_assign.zsh	PASS
c	t75_cond_reads.c	PASS
zsh	t79_arith_unary.zsh	PASS
zsh	t80_exec_redirect_persist.zsh	PASS
c	t76_prefix_expr.c	PASS
zsh	t81_break.zsh	PASS
c	t77_multichar.c	PASS
zsh	t82_continue.zsh	PASS
zsh	t83_exit.zsh	PASS
c	t78_readwrite_out.c	PASS
zsh	t84_arith_index.zsh	PASS
c	t79_switch_midbreak.c	PASS
zsh	t85_cstyle_for.zsh	PASS
zsh	t86_func_return.zsh	PASS
c	t80_enum.c	PASS
c	t81_predefined_false.c	PASS
c	t82_const.c	PASS
pl	t01_literal.pl	PASS
c	t83_const_ptr.c	PASS
pl	t01_print.pl	PASS
pl	t02_assign_str.pl	PASS
c	t84_static_assert.c	PASS
pl	t02_control.pl	PASS
c	t85_attribute_specifier.c	PASS
pl	t03_assign_num.pl	PASS
pl	t04_print_var.pl	PASS
c	t86_attribute_arg_clause.c	PASS
pl	t05_env_read.pl	PASS
pl	t06_two_vars.pl	PASS
c	t87_volatile.c	PASS
pl	t07_reassign.pl	PASS
c	t88_gnu_attribute.c	PASS
pl	t08_comment.pl	PASS
pl	t09_quoted_space.pl	PASS
